[16:54:39] Frame: 4 | Ball OCR: [77, 3, 6, 24] | Powerup Ready: True | Method: Local
[16:56:06] Frame: 34 | Ball OCR: [27, 22, 29, 3, 35] | Powerup Ready: True | Method: Local
[16:56:08] Frame: 35 | Ball OCR: [2, 7, 38, 35] | Powerup Ready: True | Method: Local
[16:56:10] Frame: 36 | Ball OCR: [Missed] | Powerup Ready: True | Method: Local
[17:23:14] Frame: 5 | Ball OCR: [Missed] | Powerup Ready: True | Method: Local
[17:32:22] Frame: 1 | Ball OCR: [9, 7, 3, 4] | Powerup Ready: True | Method: Local
[17:32:25] Frame: 2 | Ball OCR: [9, 7, 3, 4] | Powerup Ready: True | Method: Local
[17:32:27] Frame: 3 | Ball OCR: [5, 9, 67, 3] | Powerup Ready: True | Method: Local
[17:32:29] Frame: 4 | Ball OCR: [5, 9, 67, 3] | Powerup Ready: True | Method: Local
[17:32:32] Frame: 5 | Ball OCR: [5, 1, 19, 67] | Powerup Ready: True | Method: Local
[17:32:33] Frame: 6 | Ball OCR: [5, 1, 19, 67] | Powerup Ready: True | Method: Local
[17:32:35] Frame: 7 | Ball OCR: [5, 1, 19, 67] | Powerup Ready: True | Method: Local
[17:32:37] Frame: 8 | Ball OCR: [5, 1, 19] | Powerup Ready: True | Method: Local
[17:32:39] Frame: 9 | Ball OCR: [5, 1, 19] | Powerup Ready: True | Method: Local
[17:32:41] Frame: 10 | Ball OCR: [5, 1, 19] | Powerup Ready: True | Method: Local
[17:32:42] Frame: 11 | Ball OCR: [6, 5, 3, 1] | Powerup Ready: True | Method: Local
[17:32:44] Frame: 12 | Ball OCR: [6, 5, 3, 1] | Powerup Ready: True | Method: Local
[17:32:46] Frame: 13 | Ball OCR: [2, 16, 9, 3, 55, 5] | Powerup Ready: True | Method: Local
[17:32:48] Frame: 14 | Ball OCR: [2, 16, 9, 3, 55, 5] | Powerup Ready: True | Method: Local
[17:32:51] Frame: 15 | Ball OCR: [2, 16, 9, 3, 55, 5] | Powerup Ready: True | Method: Local
[17:32:53] Frame: 16 | Ball OCR: [2, 1, 9, 53, 55] | Powerup Ready: True | Method: Local
[17:32:54] Frame: 17 | Ball OCR: [2, 1, 9, 53, 55] | Powerup Ready: True | Method: Local
[17:32:57] Frame: 18 | Ball OCR: [3, 73, 1, 69, 53] | Powerup Ready: True | Method: Local
[17:32:58] Frame: 19 | Ball OCR: [3, 73, 1, 69, 53] | Powerup Ready: True | Method: Local
[17:33:00] Frame: 20 | Ball OCR: [3, 73, 1, 69, 53] | Powerup Ready: True | Method: Local
[17:33:02] Frame: 21 | Ball OCR: [2, 4, 3, 7, 21, 69] | Powerup Ready: True | Method: Local
[17:33:04] Frame: 22 | Ball OCR: [2, 4, 3, 7, 21, 69] | Powerup Ready: True | Method: Local
[17:33:06] Frame: 23 | Ball OCR: [2, 4, 37, 21, 6] | Powerup Ready: True | Method: Local
[17:33:08] Frame: 24 | Ball OCR: [7, 5, 3, 37, 21] | Powerup Ready: True | Method: Local
[17:33:10] Frame: 25 | Ball OCR: [7, 5, 3, 37, 21] | Powerup Ready: True | Method: Local
[17:33:12] Frame: 26 | Ball OCR: [5, 7, 3, 2, 43, 37] | Powerup Ready: True | Method: Local
[17:33:13] Frame: 27 | Ball OCR: [5, 7, 3, 2, 43, 37] | Powerup Ready: True | Method: Local
[17:33:15] Frame: 28 | Ball OCR: [5, 7, 3, 2, 43, 37] | Powerup Ready: True | Method: Local
[17:33:17] Frame: 29 | Ball OCR: [2, 5, 27, 3, 4] | Powerup Ready: True | Method: Local
[17:33:19] Frame: 30 | Ball OCR: [2, 5, 27, 3, 4] | Powerup Ready: True | Method: Local
[17:33:21] Frame: 31 | Ball OCR: [3, 12, 9, 2, 73] | Powerup Ready: True | Method: Local
[17:33:24] Frame: 32 | Ball OCR: [3, 12, 9, 2, 73] | Powerup Ready: True | Method: Local
[17:33:27] Frame: 33 | Ball OCR: [2, 13, 9, 52] | Powerup Ready: True | Method: Local
[17:33:28] Frame: 34 | Ball OCR: [2, 13, 9, 52] | Powerup Ready: True | Method: Local
[17:33:30] Frame: 35 | Ball OCR: [2, 13, 9, 52] | Powerup Ready: True | Method: Local
[17:33:32] Frame: 36 | Ball OCR: [3, 2, 4, 1, 29, 52] | Powerup Ready: True | Method: Local
[17:33:35] Frame: 37 | Ball OCR: [3, 2, 4, 1, 29, 52] | Powerup Ready: True | Method: Local
[17:33:37] Frame: 38 | Ball OCR: [3, 07, 4, 31, 29] | Powerup Ready: True | Method: Local
[17:33:40] Frame: 39 | Ball OCR: [3, 07, 4, 31, 29] | Powerup Ready: True | Method: Local
[17:33:43] Frame: 40 | Ball OCR: [7, 4, 24, 31] | Powerup Ready: True | Method: Local
[17:33:44] Frame: 41 | Ball OCR: [7, 4, 24, 31] | Powerup Ready: True | Method: Local
[17:33:46] Frame: 42 | Ball OCR: [75, 7, 30, 2] | Powerup Ready: True | Method: Local
[17:34:03] Frame: 43 | Ball OCR: [6, 1, 9, 54] | Powerup Ready: True | Method: Local
[17:34:06] Frame: 44 | Ball OCR: [11, 59, 54, 75] | Powerup Ready: True | Method: Local
[17:34:08] Frame: 45 | Ball OCR: [6, 07, 1, 59, 54] | Powerup Ready: True | Method: Local
[17:34:10] Frame: 46 | Ball OCR: [Missed] | Powerup Ready: False | Method: Local
[02:02:59] Frame: 1 | Ball OCR: [1, 72, 43, 64, 36, 17, 60] | Powerup Ready: True | Method: GroqVLM
[02:03:00] Frame: 2 | Ball OCR: [1, 72, 43, 64, 36, 17, 60] | Powerup Ready: True | Method: GroqVLM
[02:03:02] Frame: 3 | Ball OCR: [1, 72, 43, 64, 36, 17, 60] | Powerup Ready: True | Method: GroqVLM
[02:03:03] Frame: 4 | Ball OCR: [54, 1, 72, 43, 64, 36, 17] | Powerup Ready: True | Method: GroqVLM
[02:03:05] Frame: 5 | Ball OCR: [54, 1, 72, 43, 64, 36, 17] | Powerup Ready: True | Method: GroqVLM
[02:03:06] Frame: 6 | Ball OCR: [54, 1, 72, 43, 64, 36, 17] | Powerup Ready: True | Method: GroqVLM
[02:03:08] Frame: 7 | Ball OCR: [7, 54, 1, 72, 43, 64, 36, 1] | Powerup Ready: True | Method: GroqVLM
[02:03:09] Frame: 8 | Ball OCR: [67, 54, 1, 72, 43, 64, 36] | Powerup Ready: True | Method: GroqVLM
[02:03:12] Frame: 9 | Ball OCR: [67, 54, 1, 72, 43, 64, 36] | Powerup Ready: True | Method: GroqVLM
[02:03:14] Frame: 10 | Ball OCR: [15, 67, 54, 1, 72, 43, 64] | Powerup Ready: True | Method: GroqVLM
[02:03:16] Frame: 11 | Ball OCR: [15, 67, 54, 1, 72, 43, 64] | Powerup Ready: True | Method: GroqVLM
[02:03:18] Frame: 12 | Ball OCR: [5, 15, 67, 54, 1, 72, 43] | Powerup Ready: True | Method: GroqVLM
[02:03:20] Frame: 13 | Ball OCR: [5, 15, 67, 54, 1, 72, 43] | Powerup Ready: True | Method: GroqVLM
[02:03:23] Frame: 14 | Ball OCR: [6, 5, 15, 67, 54, 1, 72] | Powerup Ready: True | Method: GroqVLM
[02:03:25] Frame: 15 | Ball OCR: [6, 5, 15, 67, 54, 1, 72] | Powerup Ready: True | Method: GroqVLM
[02:03:27] Frame: 16 | Ball OCR: [6, 5, 15, 67, 54, 1, 72] | Powerup Ready: True | Method: GroqVLM
[02:03:29] Frame: 17 | Ball OCR: [73, 6, 5, 15, 67, 54, 1] | Powerup Ready: True | Method: GroqVLM
[02:03:32] Frame: 18 | Ball OCR: [73, 6, 5, 15, 67, 54, 1] | Powerup Ready: True | Method: GroqVLM
[02:03:35] Frame: 19 | Ball OCR: [8, 73, 6, 5, 15, 67, 54] | Powerup Ready: True | Method: GroqVLM
[02:03:38] Frame: 20 | Ball OCR: [8, 73, 6, 5, 15, 67, 54] | Powerup Ready: True | Method: GroqVLM
[02:03:40] Frame: 21 | Ball OCR: [44, 8, 73, 6, 5, 15, 67] | Powerup Ready: True | Method: GroqVLM
[02:03:43] Frame: 22 | Ball OCR: [61, 44, 8, 73, 6, 5, 15] | Powerup Ready: True | Method: GroqVLM
[02:03:46] Frame: 23 | Ball OCR: [61, 44, 8, 73, 6, 5, 15] | Powerup Ready: True | Method: GroqVLM
[02:03:49] Frame: 24 | Ball OCR: [21, 61, 44, 8, 73, 6, 5] | Powerup Ready: True | Method: GroqVLM
[02:03:51] Frame: 25 | Ball OCR: [21, 61, 44, 8, 73, 6, 5] | Powerup Ready: True | Method: GroqVLM
[02:03:53] Frame: 26 | Ball OCR: [7, 21, 61, 44, 8, 73, 6] | Powerup Ready: True | Method: GroqVLM
[02:03:56] Frame: 27 | Ball OCR: [7, 21, 61, 44, 8, 73, 6] | Powerup Ready: True | Method: GroqVLM
[02:03:59] Frame: 28 | Ball OCR: [4, 7, 21, 61, 44, 8, 73] | Powerup Ready: True | Method: GroqVLM
[02:04:01] Frame: 29 | Ball OCR: [4, 7, 21, 61, 44, 8, 73] | Powerup Ready: True | Method: GroqVLM
[02:04:03] Frame: 30 | Ball OCR: [63, 4, 7, 21, 61, 44, 8] | Powerup Ready: True | Method: GroqVLM
[02:04:05] Frame: 31 | Ball OCR: [63, 4, 7, 21, 61, 44, 8] | Powerup Ready: True | Method: GroqVLM
[02:04:08] Frame: 32 | Ball OCR: [42, 63, 4, 7, 21, 61, 44] | Powerup Ready: True | Method: GroqVLM
[02:04:10] Frame: 33 | Ball OCR: [42, 63, 4, 7, 21, 61, 44] | Powerup Ready: True | Method: GroqVLM
[02:04:12] Frame: 34 | Ball OCR: [42, 63, 4, 7, 21, 61, 44] | Powerup Ready: True | Method: GroqVLM
[02:04:14] Frame: 35 | Ball OCR: [23, 42, 63, 4, 7, 21, 61] | Powerup Ready: True | Method: GroqVLM
[02:04:17] Frame: 36 | Ball OCR: [23, 42, 63, 4, 7, 21, 61] | Powerup Ready: True | Method: GroqVLM
[02:04:19] Frame: 37 | Ball OCR: [45, 23, 42, 63, 4, 7, 21] | Powerup Ready: True | Method: GroqVLM
[02:04:21] Frame: 38 | Ball OCR: [45, 23, 42, 63, 4, 7, 21] | Powerup Ready: True | Method: GroqVLM
[02:04:24] Frame: 39 | Ball OCR: [3, 45, 23, 42, 63, 4, 7] | Powerup Ready: True | Method: GroqVLM
[02:04:26] Frame: 40 | Ball OCR: [3, 45, 23, 42, 63, 4, 7] | Powerup Ready: True | Method: GroqVLM
[02:04:28] Frame: 41 | Ball OCR: [47, 3, 45, 23, 42, 63, 4] | Powerup Ready: True | Method: GroqVLM
[02:04:30] Frame: 42 | Ball OCR: [47, 3, 45, 23, 42, 63, 4] | Powerup Ready: True | Method: GroqVLM
[02:04:32] Frame: 43 | Ball OCR: [47, 3, 45, 23, 42, 63, 4] | Powerup Ready: True | Method: GroqVLM
[02:04:34] Frame: 44 | Ball OCR: [27, 47, 3, 45, 23, 42, 63] | Powerup Ready: True | Method: GroqVLM
[02:04:36] Frame: 45 | Ball OCR: [27, 47, 3, 45, 23, 42, 63] | Powerup Ready: True | Method: GroqVLM
[02:04:37] Frame: 46 | Ball OCR: [27, 47, 3, 45, 23, 42, 63] | Powerup Ready: True | Method: GroqVLM
[02:04:39] Frame: 47 | Ball OCR: [75, 27, 47, 3, 45, 23, 42] | Powerup Ready: True | Method: GroqVLM
[02:04:41] Frame: 48 | Ball OCR: [75, 27, 47, 3, 45, 23, 42] | Powerup Ready: True | Method: GroqVLM
[02:04:42] Frame: 49 | Ball OCR: [75, 27, 47, 3, 45, 23, 42] | Powerup Ready: True | Method: GroqVLM
[02:04:44] Frame: 50 | Ball OCR: [19, 75, 27, 47, 3, 45, 23] | Powerup Ready: True | Method: GroqVLM
[02:04:46] Frame: 51 | Ball OCR: [19, 75, 27, 47, 3, 45, 23] | Powerup Ready: True | Method: GroqVLM
[02:04:47] Frame: 52 | Ball OCR: [19, 75, 27, 47, 3, 45, 23] | Powerup Ready: True | Method: GroqVLM
[02:04:49] Frame: 53 | Ball OCR: [19, 75, 27, 47, 3, 45, 23] | Powerup Ready: True | Method: GroqVLM
[02:04:51] Frame: 54 | Ball OCR: [Missed] | Powerup Ready: True | Method: GroqVLM
[20:06:45] Frame: 5 | Ball OCR: [30, 54, 1, 22, 6, 5, 35] | Powerup Ready: True | Method: GroqVLM
[20:06:48] Frame: 6 | Ball OCR: [75, 30, 54, 1, 22, 6, 5] | Powerup Ready: True | Method: GroqVLM
[20:06:50] Frame: 7 | Ball OCR: [75, 30, 54, 1, 22, 6, 5] | Powerup Ready: True | Method: GroqVLM
[20:06:53] Frame: 8 | Ball OCR: [21, 75, 30, 54, 1, 22, 6] | Powerup Ready: True | Method: GroqVLM
[20:06:55] Frame: 9 | Ball OCR: [21, 75, 30, 54, 1, 22, 6] | Powerup Ready: True | Method: GroqVLM
[20:06:57] Frame: 10 | Ball OCR: [62, 21, 75, 30, 54, 1, 22] | Powerup Ready: True | Method: GroqVLM
[20:07:00] Frame: 11 | Ball OCR: [62, 21, 75, 30, 54, 1, 22] | Powerup Ready: True | Method: GroqVLM
[20:07:02] Frame: 12 | Ball OCR: [50, 62, 21, 75, 30, 54, 1] | Powerup Ready: True | Method: GroqVLM
[20:07:04] Frame: 13 | Ball OCR: [50, 62, 21, 75, 30, 54, 1] | Powerup Ready: True | Method: GroqVLM
[20:07:06] Frame: 14 | Ball OCR: [50, 62, 21, 75, 30, 54, 1] | Powerup Ready: True | Method: GroqVLM
[20:07:08] Frame: 15 | Ball OCR: [72, 50, 62, 21, 75, 30, 54] | Powerup Ready: True | Method: GroqVLM
[20:07:11] Frame: 16 | Ball OCR: [72, 50, 62, 21, 75, 30, 54] | Powerup Ready: True | Method: GroqVLM
[20:07:14] Frame: 17 | Ball OCR: [41, 72, 50, 62, 21, 75, 30] | Powerup Ready: True | Method: GroqVLM
[20:07:17] Frame: 18 | Ball OCR: [41, 72, 50, 62, 21, 75, 30] | Powerup Ready: True | Method: GroqVLM
[20:07:19] Frame: 19 | Ball OCR: [23, 41, 72, 50, 62, 21, 75] | Powerup Ready: True | Method: GroqVLM
[20:07:22] Frame: 20 | Ball OCR: [25, 23, 41, 72, 50, 62, 21] | Powerup Ready: True | Method: GroqVLM
[20:07:25] Frame: 21 | Ball OCR: [25, 23, 41, 72, 50, 62, 21] | Powerup Ready: True | Method: GroqVLM
[20:07:27] Frame: 22 | Ball OCR: [20, 25, 23, 41, 72, 50, 62] | Powerup Ready: True | Method: GroqVLM
[20:07:30] Frame: 23 | Ball OCR: [20, 25, 23, 41, 72, 50, 62] | Powerup Ready: True | Method: GroqVLM
[20:07:33] Frame: 24 | Ball OCR: [8, 20, 25, 23, 41, 72, 50] | Powerup Ready: True | Method: GroqVLM
[20:07:36] Frame: 25 | Ball OCR: [8, 20, 25, 23, 41, 72, 50] | Powerup Ready: True | Method: GroqVLM
[20:07:38] Frame: 26 | Ball OCR: [2, 8, 20, 25, 23, 41, 72] | Powerup Ready: True | Method: GroqVLM
[20:07:40] Frame: 27 | Ball OCR: [2, 8, 20, 25, 23, 41, 72] | Powerup Ready: True | Method: GroqVLM
[20:07:43] Frame: 28 | Ball OCR: [45, 2, 8, 20, 25, 23, 41] | Powerup Ready: True | Method: GroqVLM
[20:07:45] Frame: 29 | Ball OCR: [45, 2, 8, 20, 25, 23, 41] | Powerup Ready: True | Method: GroqVLM
[20:07:48] Frame: 30 | Ball OCR: [59, 45, 2, 8, 20, 25, 23] | Powerup Ready: True | Method: GroqVLM
[20:07:50] Frame: 31 | Ball OCR: [59, 45, 2, 8, 20, 25, 23] | Powerup Ready: True | Method: GroqVLM
[20:07:53] Frame: 32 | Ball OCR: [60, 59, 45, 2, 8, 20, 25] | Powerup Ready: True | Method: GroqVLM
[20:07:56] Frame: 33 | Ball OCR: [60, 59, 45, 2, 8, 20, 25] | Powerup Ready: True | Method: GroqVLM
[20:07:58] Frame: 34 | Ball OCR: [34, 60, 59, 45, 2, 8, 20] | Powerup Ready: True | Method: GroqVLM
[20:08:00] Frame: 35 | Ball OCR: [34, 60, 59, 45, 2, 8, 20] | Powerup Ready: True | Method: GroqVLM
[20:08:03] Frame: 36 | Ball OCR: [39, 34, 60, 59, 45, 2, 8] | Powerup Ready: True | Method: GroqVLM
[20:08:06] Frame: 37 | Ball OCR: [39, 34, 60, 59, 45, 2, 8] | Powerup Ready: True | Method: GroqVLM
[20:08:10] Frame: 38 | Ball OCR: [73, 39, 34, 60, 59, 45, 2] | Powerup Ready: True | Method: GroqVLM
[20:08:13] Frame: 39 | Ball OCR: [73, 39, 34, 60, 59, 45, 2] | Powerup Ready: True | Method: GroqVLM
[20:08:15] Frame: 40 | Ball OCR: [38, 38] | Powerup Ready: True | Method: GroqVLM
[20:08:27] Frame: 41 | Ball OCR: [Missed] | Powerup Ready: False | Method: GroqVLM
[20:08:38] Frame: 42 | Ball OCR: [Missed] | Powerup Ready: True | Method: GroqVLM
[20:08:39] Frame: 43 | Ball OCR: [30, 1, 30, 30, 1] | Powerup Ready: True | Method: GroqVLM
[20:08:41] Frame: 44 | Ball OCR: [38] | Powerup Ready: True | Method: GroqVLM
[20:11:05] Frame: 49 | Ball OCR: [5, 69, 7, 28, 25, 54, 35] | Powerup Ready: True | Method: GroqVLM
[20:11:09] Frame: 50 | Ball OCR: [5, 69, 7, 28, 25, 54, 35] | Powerup Ready: True | Method: GroqVLM
[20:11:11] Frame: 51 | Ball OCR: [21, 5, 69, 7, 28, 25, 54] | Powerup Ready: True | Method: GroqVLM
[20:11:14] Frame: 52 | Ball OCR: [46, 21, 5, 69, 7, 28, 25] | Powerup Ready: True | Method: GroqVLM
[20:11:16] Frame: 53 | Ball OCR: [46, 21, 5, 69, 7, 28, 25] | Powerup Ready: True | Method: GroqVLM
[20:11:19] Frame: 54 | Ball OCR: [46, 21, 5, 69, 7, 28, 25] | Powerup Ready: True | Method: GroqVLM
[20:11:21] Frame: 55 | Ball OCR: [37, 46, 21, 5, 69, 7, 28] | Powerup Ready: True | Method: GroqVLM
[20:11:23] Frame: 56 | Ball OCR: [37, 46, 21, 5, 69, 7, 28, 37, 46, 21, 5, 69, 7, 28] | Powerup Ready: True | Method: GroqVLM
[20:11:26] Frame: 57 | Ball OCR: [27, 37, 46, 21, 5, 69, 7] | Powerup Ready: True | Method: GroqVLM
[20:11:30] Frame: 58 | Ball OCR: [62, 27, 37, 46, 21, 5, 69] | Powerup Ready: True | Method: GroqVLM
[20:11:33] Frame: 59 | Ball OCR: [62, 27, 37, 46, 21, 5, 69] | Powerup Ready: True | Method: GroqVLM
[20:11:35] Frame: 60 | Ball OCR: [34, 62, 27, 37, 46, 21, 5] | Powerup Ready: True | Method: GroqVLM
[20:11:38] Frame: 61 | Ball OCR: [34, 62, 27, 37, 46, 21, 5] | Powerup Ready: True | Method: GroqVLM
[20:11:41] Frame: 62 | Ball OCR: [20, 34, 62, 27, 37, 46, 21] | Powerup Ready: True | Method: GroqVLM
[20:11:43] Frame: 63 | Ball OCR: [20, 34, 62, 27, 37, 46, 21] | Powerup Ready: True | Method: GroqVLM
[20:11:46] Frame: 64 | Ball OCR: [63, 20, 34, 62, 27, 37, 46] | Powerup Ready: True | Method: GroqVLM
[20:11:49] Frame: 65 | Ball OCR: [1, 63, 20, 34, 62, 27, 37] | Powerup Ready: True | Method: GroqVLM
[20:11:53] Frame: 66 | Ball OCR: [1, 63, 20, 34, 62, 27, 37] | Powerup Ready: True | Method: GroqVLM
[20:11:57] Frame: 67 | Ball OCR: [43, 1, 63, 20, 34, 62, 27] | Powerup Ready: True | Method: GroqVLM
[20:11:59] Frame: 68 | Ball OCR: [30, 43, 1, 63, 20, 34, 62] | Powerup Ready: True | Method: GroqVLM
[20:12:03] Frame: 69 | Ball OCR: [30, 43, 1, 63, 20, 34, 62] | Powerup Ready: True | Method: GroqVLM
[20:12:06] Frame: 70 | Ball OCR: [14, 30, 43, 1, 63, 20, 34] | Powerup Ready: True | Method: GroqVLM
[20:12:09] Frame: 71 | Ball OCR: [36, 14, 30, 43, 1, 63, 20] | Powerup Ready: True | Method: GroqVLM
[20:12:12] Frame: 72 | Ball OCR: [36, 14, 30, 43, 1, 63, 20] | Powerup Ready: True | Method: GroqVLM
[20:12:16] Frame: 73 | Ball OCR: [65, 36, 14, 30, 43, 1, 63] | Powerup Ready: True | Method: GroqVLM
[20:12:20] Frame: 74 | Ball OCR: [71, 65, 36, 14, 30, 43, 1] | Powerup Ready: True | Method: GroqVLM
[20:12:24] Frame: 75 | Ball OCR: [71, 65, 36, 14, 30, 43, 1] | Powerup Ready: True | Method: GroqVLM
[20:12:27] Frame: 76 | Ball OCR: [40, 71, 65, 36, 14, 30, 43] | Powerup Ready: True | Method: GroqVLM
[20:12:31] Frame: 77 | Ball OCR: [52, 40, 71, 65, 36, 14, 30] | Powerup Ready: True | Method: GroqVLM
[20:12:34] Frame: 78 | Ball OCR: [59, 52, 40, 71, 65, 36, 14] | Powerup Ready: True | Method: GroqVLM
[20:12:37] Frame: 79 | Ball OCR: [Missed] | Powerup Ready: False | Method: GroqVLM
[20:12:48] Frame: 80 | Ball OCR: [Missed] | Powerup Ready: False | Method: GroqVLM
[20:12:59] Frame: 81 | Ball OCR: [Missed] | Powerup Ready: False | Method: GroqVLM
[23:22:31] Frame: 4 | Ball OCR: [6, 33, 55, 47, 2, 21, 34] | Powerup Ready: True | Method: GroqVLM
[23:22:33] Frame: 5 | Ball OCR: [6, 33, 55, 47, 2, 21, 34] | Powerup Ready: True | Method: GroqVLM
[23:22:35] Frame: 6 | Ball OCR: [25, 6, 33, 55, 47, 2, 21] | Powerup Ready: True | Method: GroqVLM
[23:22:37] Frame: 7 | Ball OCR: [25, 6, 33, 55, 47, 2, 21] | Powerup Ready: True | Method: GroqVLM
[23:22:39] Frame: 8 | Ball OCR: [25, 6, 33, 55, 47, 2, 21] | Powerup Ready: True | Method: GroqVLM
[23:22:41] Frame: 9 | Ball OCR: [3, 25, 6, 33, 55, 47, 2] | Powerup Ready: True | Method: GroqVLM
[23:22:44] Frame: 10 | Ball OCR: [15, 3, 25, 6, 33, 55, 47] | Powerup Ready: True | Method: GroqVLM
[23:22:46] Frame: 11 | Ball OCR: [15, 3, 25, 6, 33, 55, 47] | Powerup Ready: True | Method: GroqVLM
[23:22:48] Frame: 12 | Ball OCR: [15, 3, 25, 6, 33, 55, 47] | Powerup Ready: True | Method: GroqVLM
[23:22:51] Frame: 13 | Ball OCR: [72, 15, 3, 25, 6, 33, 55] | Powerup Ready: True | Method: GroqVLM
[23:22:53] Frame: 14 | Ball OCR: [72, 15, 3, 25, 6, 33, 55] | Powerup Ready: True | Method: GroqVLM
[23:22:55] Frame: 15 | Ball OCR: [44, 72, 15, 3, 25, 6, 33] | Powerup Ready: True | Method: GroqVLM
[23:22:58] Frame: 16 | Ball OCR: [44, 72, 15, 3, 25, 6, 33] | Powerup Ready: True | Method: GroqVLM
[23:23:01] Frame: 17 | Ball OCR: [43, 44, 72, 15, 3, 25, 6] | Powerup Ready: True | Method: GroqVLM
[23:23:04] Frame: 18 | Ball OCR: [5, 43, 44, 72, 15, 3, 25] | Powerup Ready: True | Method: GroqVLM
[23:23:07] Frame: 19 | Ball OCR: [5, 43, 44, 72, 15, 3, 25] | Powerup Ready: True | Method: GroqVLM
[23:23:10] Frame: 20 | Ball OCR: [1, 5, 43, 44, 72, 15, 3] | Powerup Ready: True | Method: GroqVLM
[23:23:13] Frame: 21 | Ball OCR: [1, 5, 43, 44, 72, 15, 3] | Powerup Ready: True | Method: GroqVLM
[23:23:16] Frame: 22 | Ball OCR: [75, 1, 5, 43, 44, 72, 15] | Powerup Ready: True | Method: GroqVLM
[23:23:19] Frame: 23 | Ball OCR: [65, 75, 1, 5, 43, 44, 72] | Powerup Ready: True | Method: GroqVLM
[23:23:22] Frame: 24 | Ball OCR: [65, 75, 1, 5, 43, 44, 72] | Powerup Ready: True | Method: GroqVLM
[23:23:26] Frame: 25 | Ball OCR: [4, 65, 75, 1, 5, 43, 44] | Powerup Ready: True | Method: GroqVLM
[23:23:30] Frame: 26 | Ball OCR: [41, 4, 65, 75, 1, 5, 43] | Powerup Ready: True | Method: GroqVLM
[23:23:33] Frame: 27 | Ball OCR: [41, 4, 65, 75, 1, 5, 43] | Powerup Ready: True | Method: GroqVLM
[23:23:36] Frame: 28 | Ball OCR: [36, 41, 4, 65, 75, 1, 5] | Powerup Ready: True | Method: GroqVLM
[23:23:39] Frame: 29 | Ball OCR: [36, 41, 4, 65, 75, 1, 5] | Powerup Ready: True | Method: GroqVLM
[23:23:41] Frame: 30 | Ball OCR: [73, 36, 41, 4, 65, 75, 1] | Powerup Ready: True | Method: GroqVLM
[23:23:44] Frame: 31 | Ball OCR: [35, 73, 36, 41, 4, 65, 75] | Powerup Ready: True | Method: GroqVLM
[23:23:46] Frame: 32 | Ball OCR: [35, 73, 36, 41, 4, 65, 75] | Powerup Ready: True | Method: GroqVLM
